"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"3","BinaryOutputArchive.java","0","135","0","17","0","18","0","21","0","0","0"
"3","BKException.java","1","117","117","117","117","117","2","2","2","2","1"
"3","Bookie.java","1","309","309","309","309","309","2","2","2","2","0"
"3","BookieClient.java","1","308","308","308","308","308","2","2","2","2","1"
"3","BookieHandle.java","1","225","225","225","225","225","2","2","2","2","1"
"3","BookieProtocol.java","1","63","63","63","63","63","2","2","2","2","1"
"3","BookieServer.java","1","162","162","162","162","162","2","2","2","2","0"
"3","BookKeeper.java","1","631","631","631","631","631","2","2","2","2","1"
"3","ByteBufferInputStream.java","0","65","0","11","0","12","0","17","0","0","0"
"3","CGenerator.java","0","80","0","10","0","11","0","22","0","0","0"
"3","ClientBase.java","2","309","152","152","154","154","4","4","4","4","1"
"3","ClientCBWorker.java","1","101","101","101","101","101","2","2","2","2","0"
"3","ClientCnxn.java","3","963","4","34","7","82","10","77","16","40","1"
"3","ClientWatchManager.java","0","36","0","11","0","13","0","6","0","4","0"
"3","CommitProcessor.java","1","168","-2","12","1","30","4","40","6","10","1"
"3","CommonNames.java","1","27","0","3","1","4","2","16","2","2","0"
"3","ConnectionBean.java","2","109","3","9","10","12","4","22","6","8","1"
"3","ConnectionMXBean.java","1","62","0","7","1","8","2","16","2","2","1"
"3","CppGenerator.java","0","75","0","11","0","12","0","19","0","0","0"
"3","CreateMode.java","0","81","0","81","0","81","0","2","0","0","0"
"3","CsvInputArchive.java","0","189","0","33","0","33","0","17","0","0","0"
"3","CsvOutputArchive.java","0","136","0","19","0","19","0","21","0","2","0"
"3","DataNode.java","2","118","2","8","13","12","4","37","4","14","0"
"3","DataNodeV1.java","0","117","0","117","0","117","0","2","0","0","0"
"3","DataTree.java","3","963","49","34","56","39","10","70","12","24","0"
"3","DataTreeBean.java","1","63","-16","6","17","11","2","20","2","4","0"
"3","DataTreeMXBean.java","1","43","1","5","9","7","2","16","2","2","0"
"3","DataTreeV1.java","2","525","0","175","7","179","4","6","4","4","0"
"3","DigestAuthenticationProvider.java","1","116","1","13","5","33","2","25","2","2","1"
"3","Election.java","0","24","0","2","0","3","0","20","0","2","1"
"3","Environment.java","0","90","0","90","0","90","0","2","0","2","0"
"3","ErrorCodes.java","1","27","27","27","27","27","2","2","2","2","0"
"3","FastLeaderElection.java","3","589","6","25","26","56","8","46","6","24","1"
"3","FatJarMain.java","1","114","114","114","114","114","2","2","0","0","0"
"3","FileSnap.java","1","168","12","24","13","26","4","14","8","24","1"
"3","FileTxnLog.java","1","439","2","87","3","89","2","10","4","20","1"
"3","FileTxnSnapLog.java","1","249","9","35","9","37","6","14","10","16","1"
"3","FinalRequestProcessor.java","3","242","1","13","5","33","6","52","6","16","1"
"3","Follower.java","2","363","11","20","83","82","4","50","4","12","1"
"3","FollowerBean.java","1","45","-9","2","17","6","2","16","2","2","0"
