@relation dataset13
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
2,0,24,0,0,0,0,0,0,0,0,1
2,0,90,0,90,0,90,0,1,0,1,1
2,1,27,27,27,27,27,1,1,1,1,1
2,3,589,6,6,26,26,4,4,3,3,0
2,1,114,114,114,114,114,1,1,0,0,0
2,1,168,12,12,13,13,2,2,4,4,1
2,1,439,439,439,439,439,1,1,2,2,0
2,1,249,9,9,9,9,3,3,5,5,1
2,3,242,1,1,5,5,3,3,3,3,1
2,2,363,11,11,83,83,2,2,2,2,1
2,1,45,45,45,45,45,1,1,1,1,1
2,2,367,5,5,10,10,2,2,2,2,0
2,1,37,37,37,37,37,1,1,1,1,1
2,2,96,-1,-1,1,1,2,2,2,2,0
2,0,77,0,0,0,0,0,0,0,0,0
2,0,31,0,0,0,0,0,0,0,0,1
2,3,221,15,15,17,17,4,4,5,5,1
2,1,63,63,63,63,63,1,1,1,1,1
2,0,36,0,0,0,0,0,0,0,0,0
2,0,41,0,0,0,0,0,0,0,0,0
2,1,106,106,106,106,106,1,1,1,1,1
2,0,56,0,0,0,0,0,0,0,0,0
2,0,39,0,0,0,0,0,0,0,0,0
2,0,97,0,0,0,0,0,0,0,0,0
2,0,32,0,0,0,0,0,0,0,0,0
2,0,50,0,0,0,0,0,0,0,0,0
2,0,37,0,0,0,0,0,0,0,0,0
2,0,90,0,0,0,0,0,0,0,0,0
2,0,68,0,0,0,0,0,0,0,0,0
2,0,36,0,0,0,0,0,0,0,0,0
2,0,32,0,0,0,0,0,0,0,0,0
2,0,36,0,0,0,0,0,0,0,0,0
2,0,91,0,0,0,0,0,0,0,0,0
2,0,458,0,0,0,0,0,0,0,0,0
2,0,43,0,0,0,0,0,0,0,0,0
2,0,128,0,0,0,0,0,0,0,0,0
2,0,96,0,0,0,0,0,0,0,0,0
2,1,560,129,129,240,240,2,2,3,3,1
2,2,575,2,2,38,38,2,2,2,2,1
2,1,48,48,48,48,48,1,1,1,1,1
2,1,174,174,174,174,174,1,1,1,1,0
2,1,38,38,38,38,38,1,1,1,1,1
2,1,28,28,28,28,28,1,1,1,1,1
2,1,33,33,33,33,33,1,1,1,1,1
2,2,139,20,20,21,21,3,3,4,4,1
2,1,139,139,139,139,139,1,1,1,1,1
2,1,57,57,57,57,57,1,1,1,1,1
2,1,315,315,315,315,315,1,1,1,1,1
2,1,192,192,192,192,192,1,1,1,1,1
2,1,59,59,59,59,59,1,1,1,1,1
2,1,94,94,94,94,94,1,1,1,1,1
2,1,148,148,148,148,148,1,1,1,1,1
2,1,62,62,62,62,62,1,1,1,1,1
2,1,58,58,58,58,58,1,1,1,1,1
2,1,65,65,65,65,65,1,1,1,1,1
2,1,50,50,50,50,50,1,1,1,1,1
2,2,65,32,32,33,33,2,2,2,2,1
2,2,175,9,9,19,19,2,2,3,3,1
2,1,124,124,124,124,124,1,1,1,1,1
2,3,864,8,8,16,16,8,9,11,12,1
2,1,479,479,479,479,479,1,1,1,1,0
2,0,44,0,0,0,0,0,0,0,0,0
2,0,189,0,0,0,0,0,0,0,0,0
2,1,252,252,252,252,252,1,1,1,1,1
2,3,431,3,3,6,6,5,5,5,5,1
2,1,36,36,36,36,36,1,1,1,1,1
2,1,68,68,68,68,68,1,1,1,1,1
2,0,71,0,0,0,0,0,0,0,0,0
2,1,119,119,119,119,119,1,1,2,2,1
2,1,40,40,40,40,40,1,1,1,1,1
2,2,526,6,6,29,29,3,3,2,2,1
2,1,239,239,239,239,239,1,1,1,1,1
2,1,31,31,31,31,31,1,1,1,1,1
2,1,447,447,447,447,447,1,1,1,1,1
2,2,585,10,10,22,22,5,5,6,6,1
2,1,199,-1,-5,2,55,1,2,1,3,1
2,1,111,8,6,9,7,1,2,1,3,0
2,1,61,61,61,61,61,1,1,1,1,1
2,1,62,62,62,62,62,1,1,1,1,1
2,0,473,0,0,0,0,0,0,0,0,0
2,0,80,0,0,0,0,0,0,0,0,0
2,0,750,0,0,0,0,0,0,0,0,0
2,1,35,35,35,35,35,1,1,1,1,1
2,1,32,32,32,32,32,1,1,1,1,1
2,0,30,0,0,0,0,0,0,0,0,0
2,0,89,0,0,0,0,0,0,0,0,0
2,0,106,0,0,0,0,0,0,0,0,0
2,1,41,41,41,41,41,1,1,1,1,1
2,1,30,30,30,30,30,1,1,1,1,1
2,0,178,0,0,0,0,0,0,0,0,1
2,0,34,0,0,0,0,0,0,0,0,0
2,1,49,49,49,49,49,1,1,1,1,0
2,0,95,0,0,0,0,0,0,0,0,0
2,0,281,0,0,0,0,0,0,0,0,0
2,1,35,35,35,35,35,1,1,1,1,1
2,2,78,2,2,6,5,2,3,3,4,1
2,0,61,0,-2,0,3,0,1,0,2,1
2,1,30,30,30,30,30,1,1,1,1,1
2,2,119,28,28,37,37,4,4,5,5,1
2,0,53,0,0,0,0,0,0,0,0,1
2,1,197,197,197,197,197,1,1,1,1,1
2,0,412,0,0,0,0,0,0,0,0,0
2,0,54,0,0,0,0,0,0,0,0,1
2,1,91,91,91,91,91,1,1,1,1,1
2,2,128,-1,3,2,6,2,3,2,5,1
2,0,90,0,0,0,0,0,0,0,0,0
2,0,136,0,0,0,0,0,0,0,0,0
2,0,108,0,0,0,0,0,0,0,0,1
