"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","4","Best_First_BidirectionalOver_Sampling","IBK","0.16405307599517477","0.7333333333333333","0.24175824175824176","0.587407490468715","22.0","8.0","90.0","69.0"
"zookeeper","4","Best_First_BidirectionalOver_Sampling","Random Forest","0.2397425583266291","0.8620689655172413","0.27472527472527475","0.7205090827539807","25.0","4.0","94.0","66.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.3314696485623003","0.8085106382978723","0.4175824175824176","0.6628728414442701","38.0","9.0","89.0","53.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.1633802816901407","0.75","0.23076923076923078","0.5796703296703297","21.0","7.0","91.0","70.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.3820047355958959","0.7142857142857143","0.6043956043956044","0.6899529042386185","55.0","22.0","76.0","36.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.3314696485623003","0.8085106382978723","0.4175824175824176","0.6628728414442701","38.0","9.0","89.0","53.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.1633802816901407","0.75","0.23076923076923078","0.5796703296703297","21.0","7.0","91.0","70.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.3820047355958959","0.7142857142857143","0.6043956043956044","0.6899529042386185","55.0","22.0","76.0","36.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.3314696485623003","0.8085106382978723","0.4175824175824176","0.7641287284144427","38.0","9.0","89.0","53.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.1633802816901407","0.75","0.23076923076923078","0.5990692980488899","21.0","7.0","91.0","70.0"
"zookeeper","4","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.26618705035971224","0.7555555555555555","0.37362637362637363","0.7532518501906257","34.0","11.0","87.0","57.0"
"zookeeper","4","None","Naive Bayes","0.3304","0.8372093023255814","0.3956043956043956","0.7365440681767212","36.0","7.0","91.0","55.0"
"zookeeper","4","None","IBK","0.19694533762057873","0.7741935483870968","0.26373626373626374","0.6003027584660238","24.0","7.0","91.0","67.0"
"zookeeper","4","None","Random Forest","0.2484872932634126","1.0","0.24175824175824176","0.7577932271809823","22.0","0.0","98.0","69.0"
"zookeeper","5","Best_First_Bidirectional","Naive Bayes","0.3038260456273765","0.8529411764705882","0.3372093023255814","0.7687401219236848","29.0","5.0","98.0","57.0"
"zookeeper","5","Best_First_Bidirectional","IBK","0.1849544801149977","0.7692307692307693","0.23255813953488372","0.6527432829081057","20.0","6.0","97.0","66.0"
"zookeeper","5","Best_First_Bidirectional","Random Forest","0.19381195554220473","0.8260869565217391","0.22093023255813954","0.7274779860013547","19.0","4.0","99.0","67.0"
"zookeeper","5","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.32527652601392865","0.7551020408163265","0.43023255813953487","0.7293971551140213","37.0","12.0","91.0","49.0"
