@relation dataset-11-testing
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
11,1,63,63,63,63,63,1,1,1,1,0
11,4,98,4,4,9,9,4,4,3,3,0
11,2,42,1,1,2,2,2,2,3,3,0
11,3,352,26,16,42,32,4,21,7,22,0
11,0,75,0,37,0,42,0,2,0,3,0
11,2,324,161,161,179,179,2,2,2,2,0
11,2,27,13,13,13,13,2,2,0,0,0
11,2,307,153,153,156,156,2,2,3,3,0
11,1,82,2,8,9,11,2,10,3,8,0
11,0,49,0,12,0,13,0,4,0,1,0
11,0,133,0,66,0,66,0,2,0,0,0
11,1,94,4,10,4,12,1,9,2,7,0
11,0,72,0,72,0,72,0,1,0,0,0
11,0,23,0,23,0,23,0,1,0,0,0
11,0,76,0,76,0,76,0,1,0,0,0
11,0,31,0,31,0,31,0,1,0,0,0
11,0,30,0,30,0,30,0,1,0,0,0
11,0,94,0,94,0,94,0,1,0,0,0
11,1,174,0,58,2,58,1,3,2,3,0
11,0,63,0,63,0,63,0,1,0,0,0
11,0,126,0,126,0,126,0,1,0,0,0
11,0,20,0,20,0,20,0,1,0,1,0
11,0,193,0,193,0,193,0,1,0,0,0
11,2,647,7,58,11,79,2,11,2,11,0
11,0,35,0,35,0,35,0,1,0,1,0
11,0,125,0,20,0,37,0,6,0,3,0
11,0,108,0,36,0,45,0,3,0,3,0
11,2,77,11,13,12,31,2,11,1,9,0
11,1,71,-719,23,28,272,1,3,1,4,0
11,1,792,792,792,792,792,1,1,1,1,0
11,1,58,2,19,3,19,1,3,1,4,0
11,1,180,12,60,13,60,1,3,1,4,0
11,1,106,9,35,9,36,1,3,3,4,0
11,0,36,0,36,0,36,0,1,0,1,0
11,0,69,0,69,0,69,0,1,0,1,0
11,0,58,0,29,0,32,0,2,0,1,0
11,1,72,27,33,27,34,1,3,3,4,0
11,4,462,27,35,42,45,5,13,7,16,0
11,1,108,38,27,42,29,1,4,3,8,0
11,1,71,9,36,9,36,1,2,3,4,0
11,1,72,0,14,3,16,2,5,2,4,0
11,2,84,4,12,7,14,3,7,3,6,0
11,1,266,12,11,15,14,2,24,3,26,0
11,2,131,43,43,46,46,3,3,4,4,0
11,2,520,18,13,29,25,8,37,10,43,0
11,2,104,52,52,53,53,2,2,3,3,0
11,8,1624,46,25,98,50,14,60,17,75,0
11,0,34,0,34,0,34,0,1,0,0,0
11,1,58,0,18,1,19,1,3,2,4,0
11,1,51,51,51,51,51,1,1,2,2,0
11,1,75,75,75,75,75,1,1,2,2,0
11,1,72,72,72,72,72,1,1,2,2,0
11,2,76,38,38,38,38,2,2,5,5,0
11,4,169,-87,24,30,95,4,7,3,7,0
11,4,634,158,158,163,163,4,4,3,3,0
11,1,135,3,19,6,22,3,7,4,7,0
11,2,301,30,37,49,51,5,8,5,7,0
11,3,103,25,25,27,27,4,4,5,5,0
11,1,125,3,7,5,11,2,17,3,20,0
11,0,60,0,108,0,108,0,1,0,0,0
11,0,53,0,17,0,18,0,3,0,4,0
11,0,40,0,40,0,40,0,1,0,2,0
11,3,167,4,15,6,17,3,11,4,12,0
11,0,137,0,69,0,69,0,2,0,0,0
11,5,540,108,108,112,112,5,5,4,4,0
11,1,54,3,27,7,29,1,2,1,2,0
11,0,71,0,17,0,19,0,4,0,2,0
11,1,45,6,15,6,15,2,3,2,2,0
11,4,460,3,19,18,29,4,22,5,14,0
11,1,38,0,12,1,13,1,3,2,4,0
11,1,35,35,35,35,35,1,1,1,1,0
11,1,42,-1,10,3,13,2,4,3,7,0
11,0,50,0,50,0,50,0,1,0,0,0
11,0,97,0,13,0,21,0,7,0,4,0
11,1,86,51,17,51,19,1,5,2,2,0
11,2,68,34,34,35,35,2,2,2,2,0
11,2,198,99,99,99,99,2,2,2,2,0
11,2,93,46,46,47,47,2,2,2,2,0
11,2,143,71,71,72,72,2,2,2,2,0
11,2,171,85,85,88,88,2,2,2,2,0
11,1,80,80,80,80,80,1,1,1,1,0
11,2,224,112,112,115,115,2,2,2,2,0
11,1,210,4,34,5,38,1,3,1,4,0
11,1,238,0,79,1,80,1,3,1,4,0
11,8,1748,26,32,27,35,10,69,13,75,0
11,0,91,0,39,0,46,0,7,0,6,0
11,1,37,37,37,37,37,1,1,1,1,0
11,1,44,44,44,44,44,1,1,1,1,0
11,0,610,0,610,0,610,0,1,0,2,0
11,0,215,0,215,0,215,0,1,0,1,0
11,0,39,0,39,0,39,0,1,0,1,0
11,0,118,0,59,0,60,0,2,0,3,0
11,3,185,1,22,3,24,4,8,4,7,0
11,2,140,70,70,71,71,2,2,3,3,0
11,0,57,0,57,0,57,0,1,0,1,0
11,1,69,19,34,20,35,1,2,3,4,0
11,0,41,0,41,0,41,0,1,0,1,0
11,0,43,0,43,0,43,0,1,0,2,0
11,2,141,26,15,27,22,2,9,2,4,0
11,0,77,0,25,0,26,0,3,0,0,0
11,1,63,31,31,34,34,2,2,2,2,0
11,1,172,2,28,3,42,1,6,1,4,0
11,2,249,124,124,126,126,2,2,2,2,0
11,1,39,0,86,1,86,1,3,0,2,0
11,2,424,212,212,215,215,2,2,2,2,0
11,1,98,1,49,3,50,1,2,2,2,0
11,1,73,9,37,9,37,1,2,3,4,0
11,1,77,20,38,21,39,1,2,3,4,0
11,0,225,0,113,0,117,0,2,0,1,0
11,2,143,1,35,2,36,2,4,3,6,0
11,0,56,0,8,0,17,0,2,0,1,0
11,0,41,0,41,0,41,0,1,0,0,0
11,2,147,73,73,75,75,2,2,1,1,0
11,1,100,1,17,3,21,2,6,3,6,0
11,1,141,0,20,2,22,3,7,3,6,0
11,3,102,26,26,27,27,4,4,5,5,0
11,1,67,1,33,1,33,1,2,1,2,0
