@relation dataset-17-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,43,0,5,0,6,0,23,0,6,NO
0,108,0,36,0,48,0,6,0,4,NO
0,256,0,51,0,52,0,10,0,12,YES
0,93,0,31,0,48,0,6,0,2,YES
1,665,12,12,12,29,2,140,0,110,YES
0,84,0,4,0,7,0,54,0,30,NO
0,174,0,87,0,88,0,4,0,4,NO
0,70,0,5,0,15,0,28,0,8,YES
0,117,0,9,0,25,0,33,0,14,YES
0,40,0,5,0,6,0,16,0,2,NO
3,796,0,15,6,44,6,102,4,98,YES
1,337,92,56,136,67,2,12,0,18,YES
1,138,86,34,102,38,2,8,0,8,NO
0,31,0,3,0,4,0,16,0,2,NO
2,1209,99,19,119,56,4,151,2,130,YES
1,460,90,11,215,35,2,82,0,66,YES
1,148,1,6,9,12,2,44,0,56,YES
0,62,0,5,0,9,0,24,0,4,NO
1,38,8,9,10,10,2,8,0,8,NO
1,53,-1,10,2,12,2,10,0,10,YES
0,62,0,62,0,62,0,2,0,2,NO
0,296,0,148,0,149,0,4,0,4,YES
0,35,0,35,0,35,0,2,0,2,NO
0,117,0,39,0,40,0,6,0,8,YES
0,130,0,43,0,45,0,6,0,6,YES
0,29,0,4,0,4,0,19,0,2,NO
0,84,0,12,0,13,0,21,0,6,NO
0,84,0,13,0,15,0,21,0,6,NO
0,41,0,5,0,6,0,16,0,2,YES
0,30,0,3,0,4,0,16,0,2,YES
0,231,0,11,0,14,0,52,0,30,YES
0,40,0,5,0,6,0,21,0,4,NO
0,96,0,96,0,96,0,2,0,2,YES
0,136,0,45,0,60,0,6,0,6,NO
0,50,0,25,0,26,0,4,0,6,NO
0,63,0,63,0,63,0,2,0,0,YES
0,134,0,66,0,111,0,4,0,0,NO
0,72,0,4,0,7,0,42,0,20,NO
0,127,0,18,0,23,0,14,0,14,YES
0,250,0,23,0,58,0,31,0,6,NO
0,35,0,4,0,5,0,16,0,2,NO
0,407,0,17,0,23,0,49,0,36,NO
0,135,0,22,0,25,0,12,0,4,YES
0,101,0,5,0,13,0,38,0,22,YES
0,30,0,3,0,4,0,16,0,2,NO
0,126,0,7,0,19,0,36,0,12,NO
0,122,0,61,0,62,0,4,0,4,NO
0,73,0,7,0,8,0,27,0,10,NO
0,247,0,10,0,14,0,63,0,32,YES
0,74,0,74,0,74,0,2,0,2,YES
0,68,0,68,0,68,0,2,0,2,YES
0,180,0,180,0,180,0,2,0,2,YES
0,429,0,214,0,214,0,4,0,4,YES
