@relation dataset-19-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
0,73,0,73,0,73,0,2,0,2,1
0,52,0,52,0,52,0,2,0,4,0
0,45,0,45,0,45,0,2,0,2,1
1,276,184,92,198,97,2,6,0,4,1
0,45,0,45,0,45,0,2,0,2,0
0,62,0,31,0,31,0,4,0,4,0
0,91,0,91,0,91,0,2,0,2,0
0,25,0,26,0,26,0,2,0,2,0
0,25,0,25,0,25,0,2,0,2,0
0,58,0,58,0,58,0,2,0,2,1
0,173,0,8,0,29,0,69,0,50,1
0,113,0,56,0,57,0,4,0,4,0
0,480,0,480,0,480,0,2,0,4,0
0,67,0,67,0,67,0,2,0,4,0
0,111,0,14,0,15,0,23,0,4,1
0,57,0,19,0,21,0,6,0,6,0
0,54,0,27,0,27,0,4,0,4,0
0,108,0,27,0,28,0,8,0,8,0
0,339,0,113,0,115,0,6,0,6,0
0,294,0,32,0,39,0,18,0,24,0
0,254,0,30,0,31,0,25,0,10,1
0,160,0,10,0,20,0,30,0,8,1
0,74,0,74,0,74,0,2,0,2,0
0,72,0,5,0,10,0,28,0,2,1
0,96,0,6,0,10,0,28,0,14,1
0,72,0,23,0,25,0,6,0,4,0
0,135,0,10,0,13,0,31,0,12,0
0,154,0,9,0,11,0,43,0,14,0
0,266,0,133,0,134,0,4,0,4,0
0,226,0,35,0,37,0,19,0,2,0
0,226,0,27,0,28,0,25,0,8,0
0,36,0,36,0,36,0,2,0,2,0
0,72,0,72,0,72,0,2,0,2,0
0,69,0,69,0,69,0,2,0,2,0
0,37,0,37,0,37,0,2,0,2,0
0,57,0,57,0,57,0,2,0,2,0
0,441,0,49,0,57,0,18,0,22,1
0,33,0,4,0,4,0,16,0,2,0
0,112,0,112,0,112,0,2,0,2,1
0,99,0,50,0,51,0,4,0,4,1
0,371,0,124,0,156,0,6,0,8,0
0,108,0,8,0,10,0,36,0,10,1
0,61,0,30,0,31,0,4,0,6,1
0,72,0,35,0,37,0,4,0,6,0
0,289,0,289,0,289,0,2,0,2,0
