@relation dataset-6-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,80,0,40,0,40,0,2,0,1,YES
0,94,0,31,0,34,0,3,0,4,NO
0,1014,0,1014,0,1014,0,1,0,0,NO
2,756,54,42,62,51,4,18,1,17,NO
2,190,6,21,11,23,2,9,1,15,NO
0,45,0,2,0,40,0,17,0,19,NO
0,25,0,12,0,36,0,2,0,2,NO
2,158,-338,6,18,42,2,24,2,37,NO
1,45,-9,22,0,27,1,2,1,1,NO
1,244,0,40,1,43,1,6,0,3,YES
1,137,12,8,19,14,1,17,1,12,NO
1,81,10,9,10,11,1,9,1,4,NO
0,56,0,4,0,18,0,12,0,14,NO
1,79,0,19,1,28,1,4,0,6,NO
0,47,0,15,0,17,0,3,0,6,NO
2,336,13,30,22,34,5,11,4,11,NO
1,74,0,12,1,19,1,6,0,0,NO
1,202,55,28,96,36,1,7,1,4,NO
0,133,0,26,0,30,0,5,0,2,NO
1,380,0,76,1,93,1,5,0,4,YES
2,954,9,22,16,45,3,43,4,52,YES
1,157,0,31,1,33,1,5,0,0,NO
0,220,0,31,0,37,0,7,0,3,NO
1,184,19,30,19,46,1,6,2,8,NO
0,227,0,32,0,43,0,7,0,5,NO
0,477,0,17,0,24,0,27,0,27,YES
2,185,7,11,17,18,2,16,3,13,YES
1,134,0,26,1,29,1,5,0,0,NO
1,171,20,9,46,17,1,18,1,19,NO
0,107,0,35,0,37,0,3,0,7,NO
0,99,0,33,0,33,0,3,0,2,YES
1,28,28,28,28,28,1,1,1,1,NO
0,237,0,15,0,30,0,15,0,12,YES
0,442,0,49,0,51,0,9,0,5,NO
0,58,0,58,0,58,0,1,0,0,NO
0,75,0,75,0,75,0,1,0,2,NO
0,94,0,94,0,94,0,1,0,0,NO
0,104,0,104,0,104,0,1,0,0,NO
1,78,0,9,1,12,1,8,0,5,NO
0,49,0,12,0,13,0,4,0,1,NO
0,266,0,266,0,266,0,1,0,0,NO
0,56,0,56,0,56,0,1,0,0,NO
0,67,0,67,0,67,0,1,0,0,NO
0,133,0,66,0,66,0,2,0,0,NO
1,69,23,11,23,13,1,6,1,4,NO
0,106,0,15,0,23,0,7,0,1,NO
0,51,0,17,0,21,0,3,0,0,NO
0,67,0,67,0,67,0,1,0,0,NO
0,45,0,-18,0,3,0,1,0,0,NO
0,111,0,111,0,111,0,1,0,2,NO
0,44,0,14,0,17,0,3,0,0,NO
0,138,0,69,0,70,0,2,0,0,NO
0,785,0,785,0,785,0,1,0,0,NO
0,106,0,106,0,106,0,1,0,0,NO
0,400,0,400,0,400,0,1,0,0,NO
0,379,0,379,0,379,0,1,0,0,NO
0,192,0,48,0,54,0,4,0,2,NO
